id_pdc_local;statut_pdc;arrondissement;id_station_local;id_station_itinerance;nom_station;code_insee_commune;implantation_station;nbre_pdc;date_maj;condition_acces;adresse_station;coordonneesxy;gratuit;paiement_acte;paiement_cb;paiement_autre;reservation;observations;siren_amenageur;contact_amenageur;nom_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;tarification;id_pdc_itinerance;date_mise_en_service;accessibilite_pmr;restriction_gabarit;station_deux_roues;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;prise_type_3;num_pdl;horaires;raccordement
FR*V75*EPX20*05*5;En service;20e Arrondissement;FR*V75*PPX20*05;FRV75PPX2005;Paris | Boulevard de Charonne 158;75120;Voirie;6;2021-09-23;Accès libre;158 Boulevard de Charonne 75020 Paris;48.856915,2.3941433;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20055;2021-06-23;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7281331296577;24/7;Direct
FR*V75*EPX17*02*4;En service;17e Arrondissement;FR*V75*PPX17*02;FRV75PPX1702;Paris | Place du Général Koënig 12;75117;Voirie;6;2021-09-23;Accès libre;12 Place du Général Koënig 75017 Paris;48.88112,2.284095;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17024;2021-06-24;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7534732174665;24/7;Direct
FR*V75*EPX13*05*2;En service;13e Arrondissement;FR*V75*PPX13*05;FRV75PPX1305;Paris | Avenue de Choisy 188;75113;Voirie;3;2021-09-23;Accès libre;188 Avenue de Choisy 75013 Paris;48.83039,2.356917;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX13052;2021-06-24;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7393198169924;24/7;Direct
FR*V75*EPX16*02*4;En service;16e Arrondissement;FR*V75*PPX16*02;FRV75PPX1602;Paris | Avenue Raphaël 20;75116;Voirie;6;2021-09-23;Accès libre;20 Avenue Raphaël 75016 Paris;48.85926,2.267881;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16024;2021-07-12;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7438205398075;24/7;Direct
FR*V75*EPX14*02*1;En service;14e Arrondissement;FR*V75*PPX14*02;FRV75PPX1402;Paris | Boulevard de Port-Royal 97;75114;Voirie;6;2022-03-16;Accès libre;97 Boulevard de Port-Royal 75014 Paris;48.838314,2.3408663;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX14021;2021-06-30;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7336902945513;24/7;Direct
FR*V75*EPX14*02*6;En service;14e Arrondissement;FR*V75*PPX14*02;FRV75PPX1402;Paris | Boulevard de Port-Royal 97;75114;Voirie;6;2022-03-16;Accès libre;97 Boulevard de Port-Royal 75014 Paris;48.838314,2.3408663;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX14026;2021-06-30;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7336902945513;24/7;Direct
FR*V75*EPX15*05*4;En service;15e Arrondissement;FR*V75*PPX15*05;FRV75PPX1505;Paris | Rue de la Croix Nivert 192;75115;Voirie;5;2021-09-23;Accès libre;192 Rue de la Croix Nivert 75015 Paris;48.838886,2.2892983;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15054;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7453979638081;24/7;Direct
FR*V75*EPX15*05*2;En service;15e Arrondissement;FR*V75*PPX15*05;FRV75PPX1505;Paris | Rue de la Croix Nivert 192;75115;Voirie;5;2021-09-23;Accès libre;192 Rue de la Croix Nivert 75015 Paris;48.838886,2.2892983;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15052;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7453979638081;24/7;Direct
FR*V75*EPX15*09*2;En service;15e Arrondissement;FR*V75*PPX15*09;FRV75PPX1509;Paris | Rue Vasco de Gama  74;75115;Voirie;4;2021-09-23;Accès libre;74 Rue Vasco de Gama 75015 Paris;48.835426,2.2851648;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15092;2021-07-22;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7455571534698;24/7;Direct
FR*V75*EPX18*01*3;En service;18e Arrondissement;FR*V75*PPX18*01;FRV75PPX1801;Paris | Rue Fernand Labori  1;75118;Voirie;7;2021-09-23;Accès libre;1 Rue Fernand Labori 75018 Paris;48.898304,2.3423252;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX18013;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7546888469778;24/7;Direct
FR*V75*EPX15*12*1;En service;15e Arrondissement;FR*V75*PPX15*12;FRV75PPX1512;Paris | Rue Paul Barruel 44;75115;Voirie;6;2021-09-23;Accès libre;44 Rue Paul Barruel 75015 Paris;48.837364,2.3059905;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15121;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7419681520239;24/7;Direct
FR*V75*EPX15*12*6;En service;15e Arrondissement;FR*V75*PPX15*12;FRV75PPX1512;Paris | Rue Paul Barruel 44;75115;Voirie;6;2021-09-23;Accès libre;44 Rue Paul Barruel 75015 Paris;48.837364,2.3059905;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15126;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7419681520239;24/7;Direct
FR*V75*EPX15*17*4;En service;15e Arrondissement;FR*V75*PPX15*17;FRV75PPX1517;Paris | Avenue de Suffren 112;75115;Voirie;6;2021-09-23;Accès libre;112 Avenue de Suffren 75015 Paris;48.848923,2.3045475;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15174;2021-07-09;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7458755326326;24/7;Direct
FR*V75*EPX15*17*2;En service;15e Arrondissement;FR*V75*PPX15*17;FRV75PPX1517;Paris | Avenue de Suffren 112;75115;Voirie;6;2021-09-23;Accès libre;112 Avenue de Suffren 75015 Paris;48.848923,2.3045475;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX15172;2021-07-09;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7458755326326;24/7;Direct
FR*V75*EPX16*08*1;En service;16e Arrondissement;FR*V75*PPX16*08;FRV75PPX1608;Paris | Avenue Théophile Gauthier 14;75116;Voirie;6;2021-09-23;Accès libre;14 Avenue Théophile Gauthier 75016 Paris;48.850754,2.2739246;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16081;2021-07-22;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7457018712006;24/7;Direct
FR*V75*EPX16*08*3;En service;16e Arrondissement;FR*V75*PPX16*08;FRV75PPX1608;Paris | Avenue Théophile Gauthier 14;75116;Voirie;6;2021-09-23;Accès libre;14 Avenue Théophile Gauthier 75016 Paris;48.850754,2.2739246;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16083;2021-07-22;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7457018712006;24/7;Direct
FR*V75*EPX18*02*4;En service;18e Arrondissement;FR*V75*PPX18*02;FRV75PPX1802;Paris | Rue Henri Huchard 48;75118;Voirie;6;2021-09-23;Accès libre;48 Rue Henri Huchard 75018 Paris;48.89919,2.330375;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX18024;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7505933332523;24/7;Direct
FR*V75*EPX16*10*4;En service;16e Arrondissement;FR*V75*PPX16*10;FRV75PPX1610;Paris | Avenue de Versailles  53;75116;Voirie;5;2021-09-23;Accès libre;53 Avenue de Versailles 75016 Paris;48.847862,2.2745266;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX16104;2021-07-22;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7441533907232;24/7;Direct
FR*V75*EPX19*03*6;En service;19e Arrondissement;FR*V75*PPX19*03;FRV75PPX1903;Paris | Rue Jacques Duchesne 1;75119;Voirie;6;2021-09-23;Accès libre;1 Rue Jacques Duchesne 75019 Paris;48.898933,2.3740363;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX19036;2021-07-13;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7549927542337;24/7;Direct
FR*V75*EPX20*07*6;En service;20e Arrondissement;FR*V75*PPX20*07;FRV75PPX2007;Paris | Rue de Bagnolet 142;75120;Voirie;6;2021-09-23;Accès libre;142 Rue de Bagnolet 75020 Paris;48.86143,2.4056437;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20076;2021-07-21;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7224601919011;24/7;Direct
FR*V75*EPX01*04*5;En service;Paris centre;FR*V75*PPX01*04;FRV75PPX0104;Paris | Rue des Pyramides 12;75101;Voirie;6;2021-09-23;Accès libre;12 Rue des Pyramides 75001 Paris;48.86486,2.3329713;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX01045;2021-09-21;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7165557087450;24/7;Direct
FR*V75*EPX02*04*4;En test;10e Arrondissement;FR*V75*PPX02*04;FRV75PPX0204;Paris | Boulevard Bonne Nouvelle 21;75102;Voirie;4;2021-09-23;Accès libre;21 Boulevard Bonne Nouvelle 75002 Paris;48.8703,2.349722;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX02044;;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7115774164047;24/7;Direct
FR*V75*EPX02*06*5;En service;Paris centre;FR*V75*PPX02*06;FRV75PPX0206;Paris | Rue de la Paix 24;75102;Voirie;5;2022-04-12;Accès libre;24 Rue de la Paix 75002 Paris;48.869926,2.3320835;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX02065;2021-08-27;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;7162228577968;24/7;Direct
